WRN 2026-08-29T13:43:27.263 ui.245211  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:44:50.248 ui.248469  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:44:50.248 ui.248469  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:44:50.248 ui.248469  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:44:50.249 ui.248469  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:44:50.249 ui.248469  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:45:03.824 ui.249255  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:45:03.824 ui.249255  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:45:03.824 ui.249255  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:45:03.824 ui.249255  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:45:03.824 ui.249255  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T13:45:25.256 ui.250013  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T13:45:25.256 ui.250013  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T13:45:25.256 ui.250013  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T13:45:25.256 ui.250013  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T13:45:25.256 ui.250013  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:14:12.675 ui.158264  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:14:12.675 ui.158264  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:14:12.675 ui.158264  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:14:12.675 ui.158264  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:14:12.675 ui.158264  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:14:40.715 ui.159851  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:14:40.715 ui.159851  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:14:40.715 ui.159851  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:14:40.715 ui.159851  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:14:40.715 ui.159851  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:15:01.845 ui.160927  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:15:01.846 ui.160927  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:15:01.846 ui.160927  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:15:01.846 ui.160927  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:15:01.846 ui.160927  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:15:07.816 ui.161245  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:15:07.816 ui.161245  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:15:07.816 ui.161245  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:15:07.816 ui.161245  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:15:07.816 ui.161245  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-30T05:41:39.298 ui.430759  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-30T05:41:39.298 ui.430759  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-30T05:41:39.298 ui.430759  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-30T05:41:39.300 ui.430759  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-30T05:41:39.300 ui.430759  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
